0.99939,0.0141033,0.0319383,0.390365,
-0.00768068,-0.803562,0.595172,-0.897071,
0.0340583,-0.595054,-0.802963,0.549339,
0,0,0,1,
0.999475,0.00473574,0.0320658,0.387967,
-0.0150598,-0.808165,0.588763,-0.892224,
0.0287027,-0.588937,-0.807669,0.540507,
0,0,0,1,
0.998716,0.030594,0.0403826,0.386961,
0.000711581,-0.805473,0.592632,-0.892632,
0.0506581,-0.591842,-0.804461,0.54297,
0,0,0,1,
0.998705,0.0338536,0.0379697,0.387463,
0.00507362,-0.808972,0.587825,-0.892657,
0.0506165,-0.586872,-0.808096,0.529649,
0,0,0,1,
0.998256,0.042661,0.0408025,0.389406,
0.0133654,-0.836576,0.547688,-0.874685,
0.0574993,-0.546188,-0.835687,0.549491,
0,0,0,1,
0.998006,0.0549729,0.0310222,0.395461,
0.0284972,-0.830921,0.55566,-0.876569,
0.0563232,-0.553668,-0.830831,0.554583,
0,0,0,1,
0.998167,0.0416028,0.0439609,0.387467,
0.00908007,-0.821027,0.570817,-0.88383,
0.0598406,-0.569371,-0.8199,0.550913,
0,0,0,1,
0.998203,0.0374307,0.0467944,0.387384,
0.00430611,-0.823696,0.567016,-0.880983,
0.0597681,-0.565796,-0.822376,0.558136,
0,0,0,1,
0.998292,0.0249499,0.0528218,0.380438,
-0.0100726,-0.81715,0.576338,-0.891516,
0.0575429,-0.575886,-0.815503,0.546611,
0,0,0,1,
0.998984,0.0245283,0.0378202,0.392928,
-0.00184977,-0.815985,0.578069,-0.883353,
0.0450398,-0.577552,-0.815111,0.556339,
0,0,0,1,
0.9991,0.022155,0.0361806,0.388696,
-0.0030627,-0.812923,0.582363,-0.889258,
0.0423143,-0.58195,-0.812123,0.543215,
0,0,0,1,
0.998231,0.0218551,0.0552889,0.377141,
-0.0132204,-0.825094,0.564842,-0.879977,
0.0579632,-0.564573,-0.823345,0.544098,
0,0,0,1,
0.998638,0.0261146,0.0451638,0.383039,
-0.00345545,-0.830689,0.556726,-0.878118,
0.0520558,-0.556123,-0.829468,0.546409,
0,0,0,1,
0.998,0.0327036,0.0540998,0.380607,
-0.00342715,-0.82654,0.562868,-0.879514,
0.0631235,-0.561928,-0.824774,0.546845,
0,0,0,1,
0.998333,0.0347394,0.0460924,0.386705,
0.00308257,-0.829535,0.558446,-0.878238,
0.0576353,-0.557373,-0.828259,0.551124,
0,0,0,1,
0.997811,0.00703212,0.06575,0.374343,
-0.031841,-0.820365,0.570954,-0.880847,
0.057954,-0.571798,-0.818345,0.549164,
0,0,0,1,
0.998869,0.0223583,0.0419559,0.387805,
-0.00538547,-0.823617,0.567121,-0.880307,
0.0472354,-0.566705,-0.822565,0.549375,
0,0,0,1,
0.998332,0.0358828,0.045235,0.385805,
0.00422004,-0.826692,0.562639,-0.879474,
0.0575845,-0.56151,-0.825464,0.554575,
0,0,0,1,
0.998348,0.0299425,0.0490356,0.387284,
-0.00309664,-0.824183,0.566315,-0.88161,
0.0573712,-0.565532,-0.822728,0.557738,
0,0,0,1,
0.99844,0.0320374,0.0457332,0.38139,
0.00073006,-0.826449,0.563012,-0.880953,
0.0558335,-0.5621,-0.825183,0.533029,
0,0,0,1,
